name,price,"detail (manuf, quantity)",id
Ribs BBQ Piri Piri,147.26 kr/kg,"JOJJEN, 475G, Sverige",7393287732003
Majskycklingklubbor,79.95 kr/kg,"GULDFÅGELN, CA 900G, Sverige",2307101600008
Fläsklägg Med Ben,59.95 kr/kg,"DALSJÖFORS, CA1,2KG, Sverige",2330074600003
Rostbiff I Skivor Storpack,225.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000424800000
Kamben,105.00 kr/kg,"DALSJÖFORS, CA500G, Sweden",2330074700000
Majskyckling Lårfilé,185.00 kr/kg,"GULDFÅGELN, CA600G, Sverige",2307139100006
Fläskfilé,199.00 kr/kg,"DAHLBERGS, CA500G, Sverige",2360500100005
Minutbiff Av Ytterlår Storpack,165.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000425600005
Julrevben,189.37 kr/kg,"JOJJEN, 475G, Sverige",7393287732508
Spareribs Grillade,119.00 kr/kg,"MANUELL DELIKATESS, CA500G",2091007100006
Majskycklinginnerfilé,208.33 kr/kg,"GULDFÅGELN, 600G, Sverige",7313940011856
Entrecôte I Skivor Närproducerat EKO,399.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA550G",2000470500008
Ribbestek,109.00 kr/kg,"DALSJÖFORS, CA1,5KG, Sweden",2330054900000
Pulled Turkey,155.44 kr/kg,"INGELSTA KALKON, 450G, Sverige",7331044080950
Kycklinglårfilé,99.94 kr/kg,"ELDORADO, 900G, Sverige",7340083471230
Revben Knäckta,89.95 kr/kg,"DALSJÖFORS, CA1,1KG, Sverige",2330044000000
Grytbitslåda,155.00 kr/kg,"CITY GROSS, CA1,8KG",2000414500002
Chicken Nuggets Lagat & Klart,189.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027017
Kycklingbröstfilé Mörad,99.94 kr/kg,"ELDORADO, 900G, Sverige",7340083435270
Tunna Revben,94.95 kr/kg,"DALSJÖFORS, CA1,1KG, Sweden",2330067200005
Entrecôte Hängmörad I Skivor,399.00 kr/kg,"EXTRA PRIMA BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000449300004
Kamben Grillade,165.00 kr/kg,"DALSJÖFORS, CA500G",2091007300000
Picnicbog,84.95 kr/kg,"DALSJÖFORS, CA1KG, Sweden",2330044100007
Kyckling Hel,79.95 kr/kg,"SOLBACKA, CA1,5KG, Sverige",2307310000002
Hängmörad Ryggbiff I Skivor,449.00 kr/kg,"EXTRA PRIMA BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000449200007
Skinkstek Nätad,109.00 kr/kg,"DALSJÖFORS, CA1,0KG, Sweden",2330048600008
Kycklinglårfilé Mexican Stekt & Skivad,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324063006
Ankbröst Barbarie,269.00 kr/kg,"LA BELLE DE FRANCE, CA350G, Frankrike",2375877900004
Fläsklägg Rimmad Med Ben,57.95 kr/kg,"GUDRUNS, CA1.5KG, Sverige",2321330100009
Oxfilé,399.00 kr/kg,"NATURKÖTT, CA1,6KG, Brasilien",2373712100008
Kyckling Stekt/Tärnad Sweet Chili,234.75 kr/kg,"KRONFÅGEL, 200G, Sverige",7300324066007
Kycklingvingar,77.72 kr/kg,"JOJJEN, 900G, Sverige",7393287383229
Kotelleter Skivat Med Ben,109.00 kr/kg,"GARANT, CA 1.1KG, Sverige",2355004200009
Entrecôte Rioja,379.00 kr/kg,"CITY GROSS, CA500G",2091276400005
Fläskfilé,125.00 kr/kg,"DANISH CROWN, CA650G, Danmark",2385900400005
Kalkonbröstfilé,199.88 kr/kg,"INGELSTA KALKON, 400G",7331044072573
Entrecôte Chilikryddad,389.00 kr/kg,"CITY GROSS, CA500G",2091276500002
Karré Med Ben Skivad,119.00 kr/kg,"GARANT, CA1KG, Sverige",2355005600006
Kalkonbröstfilé Tunnskivad,199.88 kr/kg,"INGELSTAKALKON, 400G, Sverige",7331044072627
Kebabstavar,138.75 kr/kg,"GARANT, 360G, Sverige",7311043007943
Kalkonlårfilé,283.17 kr/kg,"INGELSTA KALKON, 300G, Sweden",7331044080547
Bjärekycklingbröst,279.00 kr/kg,"BJÄREFÅGEL, 360G, Sverige",2354220100001
Kyckling Ministeak,146.08 kr/kg,"LÖNNEBERGA, 650G, Sweden",7391049003798
Kalkonbröst Halv,219.00 kr/kg,"INGELSTA KALKON, CA1,2KG, Sverige",2366024100002
Tunna Filéer Naturell,175.83 kr/kg,"LÖNNEBERGA, 540G, Sverige",7391049003477
Vingetter & Drumetter Grillkrydda,49.95 kr/kg,"LÖNNEBERGA, CA1KG, Sverige",2350207700004
Bjärekycklinglårfiléer,249.00 kr/kg,"BJÄREFÅGEL, CA400G, Sweden",2354231500005
Bjärekyckling Hel,125.00 kr/kg,"BJÄREFÅGEL, CA1,6KG, Sweden",2354210100004
Grillbricka Örtmarinderad Kyckling,74.95 kr/kg,"BJÄREFÅGEL, CA1,0KG",2354271800004
Bjärekycklingklubba,89.95 kr/kg,"BJÄREFÅGEL, CA500G, Sverige",2354230100008
Gårdsmajskyckling,135.00 kr/kg,"LA BELLE DE FRANCE, CA1,5KG, Frankrike",2375821400000
Majskycklingfilé Utan Skin,289.00 kr/kg,"LA BELLE DE FRANCE, CA380G, France",2375834000006
