name,price,"detail (manuf, quantity)",id
Kycklingklubbor,59.95 kr/kg,"GARANT, CA900G, Sverige",2359769400001
Kalvfärs,159.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000466100007
Fläskstek Benfri,99.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000412600001
"Kycklingburgare Crispy, Fryst",131.51 kr/kg,"GULDFÅGELN, 760G",7313940580093
Ryggbiff I Skivor,379.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000426300003
Kycklingbröstfilé Grillad & Skivad,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027000
"Salladskyckling, Fryst",195.90 kr/kg,"GULDFÅGELN, 500G",7313940267505
Fläskfärs Liten,94.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA450G",2000464500007
Skivat & Klartlådan,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,5KG",2000464100009
Kycklingfilé Naturell Tvådelad,149.00 kr/kg,"GULDFÅGELN, CA750G, Sverige",2307111200007
"Kycklingburgare, Fryst",66.61 kr/kg,"ELDORADO, 900G",7311043011384
Oxgrytstek Av Ytterlår,145.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000425000003
Högrevsfärs Grovmalen,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA900G",2000464400000
Fläskytterfile,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000404800006
Grillad Kycklinginnerfilé BBQ,224.75 kr/kg,"GULDFÅGELN, 200G, Sverige",7313940027048
"Kycklinginnerfilé, Fryst",92.79 kr/kg,"KRONFÅGEL, 700G",7300322510007
Kycklingbröstfilé Strimlad,173.17 kr/kg,"GARANT, 300G, Sverige",7340083452093
Nötfärs KRAV,189.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA400G",2000462900007
Benfria Fläskkotletter I Skivor,135.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000404900003
"Kycklingbröstfilé, Fryst",64.50 kr/kg,"ELDORADO, 2KG",7340083434976
Oxgrytbitar Storpack,149.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000425200007
Vitlöksbiff Storpack,249.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000421600009
"Chicken Drumsticks Bbq, Fryst",79.50 kr/kg,"GULDFÅGELN, 2KG",7313940017063
Kycklingfärs,99.90 kr/kg,"KRONFÅGEL, 500G, Sweden",7300327689005
Fläskytterfilé Storpack,119.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000406600000
Kycklinginnerfiléer Små & Fina,149.92 kr/kg,"KRONFÅGEL, 600G, Sverige",7300328590003
"Kycklinglår, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462238
Entrecôte I Skivor,379.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000427100008
Karré Plommonspäckad,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2091245700006
Nötfärs 10%,161.25 kr/kg,"SILJANS CHARK, 800G",7316670042145
Revben Av Bog Storpack,69.95 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,6KG",2000417100001
"Kycklingfilé Mörad, Fryst",99.50 kr/kg,"KRONFÅGEL, 2KG",7300322624001
Kycklingben Kryddmarinerade,69.95 kr/kg,"GARANT, CA1,8KG, Sverige",2359769500008
Grytbitar Av Nötstek,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000458400009
"Grillade Kycklingspett Grill, Fryst",179.33 kr/kg,"GULDFÅGELN, 1,5KG",7313940026188
Lammfärs,199.88 kr/kg,"SCAN, 400G, Sverige",7300207727001
Benfri Skinkstek,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000400500009
Hamburgare Tex Mex 4-Pack,110.51 kr/kg,"GARANT, 452G, Sverige",7340083494796
"Kycklingklubbor, Fryst",28.98 kr/kg,"ELDORADO, 2KG",7340083434983
Kycklingminutbitar,136.27 kr/kg,"KRONFÅGEL, 550G, Sverige",7300328527009
Nötfärs 10%,174.88 kr/kg,"SILJANS CHARK, CA400G, Sweden",7316670042138
Sidfläsk I Bit,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000410900004
Entrecôte I Bit,369.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000427000001
"Kycklingben, Fryst",36.95 kr/kg,"GARANT, 1KG",7340083462207
Högrevsburgare,172.46 kr/kg,"SCAN, 452G, Sweden",7300206180005
Nöt & Grönt,79.90 kr/kg,"GARANT, 500G, Sverige",7311043004508
Sidfläsk Skivat,115.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000411000000
"Kycklinglårfile, Fryst",121.36 kr/kg,"KRONFÅGEL, 700G",7300322557002
Kycklinglårfilé,158.82 kr/kg,"GARANT, CA850G, Sverige",7340083498367
Rostbiffstek,219.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000424000004
"Kycklinginnerfilé, Fryst",88.50 kr/kg,"GARANT, 700G",7340083434723
Nötfärs 12%,125.00 kr/kg,"GARANT, CA 1KG, Sverige",2355022200005
Fläskschnitzel Av Picnicbog,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000412900002
